,estado,ano_mes,municipio,tipo_exame,valor_indicador
294,CE,202112,VARZEA ALEGRE,Citopatologico,751.0
295,CE,202112,VARZEA ALEGRE,Mamografia,480.0
296,CE,202212,ABAIARA,Citopatologico,728.0
297,CE,202212,ABAIARA,Mamografia,117.0
298,CE,202212,ALTANEIRA,Mamografia,91.0
299,CE,202212,ANTONINA DO NORTE,Citopatologico,399.0
300,CE,202212,ANTONINA DO NORTE,Mamografia,90.0
301,CE,202212,ARARIPE,Citopatologico,1654.0
302,CE,202212,ARARIPE,Mamografia,183.0
303,CE,202212,ASSARE,Citopatologico,1676.0
304,CE,202212,ASSARE,Mamografia,119.0
305,CE,202212,AURORA,Citopatologico,1162.0
306,CE,202212,AURORA,Mamografia,346.0
307,CE,202212,BARBALHA,Citopatologico,2707.0
308,CE,202212,BARBALHA,Mamografia,3397.0
309,CE,202212,BARRO,Citopatologico,579.0
310,CE,202212,BARRO,Mamografia,171.0
311,CE,202212,BREJO SANTO,Citopatologico,10522.0
312,CE,202212,BREJO SANTO,Mamografia,2825.0
313,CE,202212,CAMPOS SALES,Citopatologico,1461.0
314,CE,202212,CAMPOS SALES,Mamografia,634.0
315,CE,202212,CARIRIACU,Citopatologico,1075.0
316,CE,202212,CARIRIACU,Mamografia,123.0
317,CE,202212,CRATO,Citopatologico,24778.0
318,CE,202212,CRATO,Mamografia,4317.0
319,CE,202212,FARIAS BRITO,Citopatologico,2568.0
320,CE,202212,FARIAS BRITO,Mamografia,213.0
321,CE,202212,GRANJEIRO,Citopatologico,322.0
322,CE,202212,GRANJEIRO,Mamografia,40.0
323,CE,202212,JARDIM,Citopatologico,1127.0
324,CE,202212,JARDIM,Mamografia,464.0
325,CE,202212,JATI,Mamografia,155.0
326,CE,202212,JUAZEIRO DO NORTE,Citopatologico,17612.0
327,CE,202212,JUAZEIRO DO NORTE,Mamografia,5808.0
328,CE,202212,MAURITI,Citopatologico,2441.0
329,CE,202212,MAURITI,Mamografia,417.0
330,CE,202212,MILAGRES,Citopatologico,2165.0
331,CE,202212,MILAGRES,Mamografia,403.0
332,CE,202212,MISSAO VELHA,Citopatologico,1721.0
333,CE,202212,MISSAO VELHA,Mamografia,550.0
334,CE,202212,NOVA OLINDA,Citopatologico,500.0
335,CE,202212,NOVA OLINDA,Mamografia,181.0
336,CE,202212,PENAFORTE,Citopatologico,431.0
337,CE,202212,PENAFORTE,Mamografia,104.0
338,CE,202212,PORTEIRAS,Citopatologico,1306.0
339,CE,202212,PORTEIRAS,Mamografia,225.0
340,CE,202212,POTENGI,Citopatologico,682.0
341,CE,202212,POTENGI,Mamografia,111.0
342,CE,202212,SALITRE,Citopatologico,1113.0
343,CE,202212,SALITRE,Mamografia,108.0
344,CE,202212,SANTANA DO CARIRI,Citopatologico,1050.0
345,CE,202212,SANTANA DO CARIRI,Mamografia,238.0
346,CE,202212,TARRAFAS,Citopatologico,100.0
347,CE,202212,TARRAFAS,Mamografia,82.0
348,CE,202212,VARZEA ALEGRE,Citopatologico,287.0
349,CE,202212,VARZEA ALEGRE,Mamografia,650.0
350,CE,202312,ABAIARA,Citopatologico,910.0
351,CE,202312,ABAIARA,Mamografia,237.0
352,CE,202312,ALTANEIRA,Mamografia,152.0
353,CE,202312,ANTONINA DO NORTE,Citopatologico,601.0
354,CE,202312,ANTONINA DO NORTE,Mamografia,281.0
355,CE,202312,ARARIPE,Citopatologico,1617.0
356,CE,202312,ARARIPE,Mamografia,702.0
357,CE,202312,ASSARE,Citopatologico,1403.0
358,CE,202312,ASSARE,Mamografia,395.0
359,CE,202312,AURORA,Citopatologico,1403.0
360,CE,202312,AURORA,Mamografia,388.0
361,CE,202312,BARBALHA,Citopatologico,3245.0
362,CE,202312,BARBALHA,Mamografia,4318.0
363,CE,202312,BARRO,Citopatologico,1529.0
364,CE,202312,BARRO,Mamografia,470.0
365,CE,202312,BREJO SANTO,Citopatologico,12392.0
366,CE,202312,BREJO SANTO,Mamografia,3340.0
367,CE,202312,CAMPOS SALES,Citopatologico,1319.0
368,CE,202312,CAMPOS SALES,Mamografia,2410.0
369,CE,202312,CARIRIACU,Citopatologico,1956.0
370,CE,202312,CARIRIACU,Mamografia,366.0
371,CE,202312,CRATO,Citopatologico,29995.0
372,CE,202312,CRATO,Mamografia,5556.0
373,CE,202312,FARIAS BRITO,Citopatologico,1770.0
374,CE,202312,FARIAS BRITO,Mamografia,405.0
375,CE,202312,GRANJEIRO,Citopatologico,486.0
376,CE,202312,GRANJEIRO,Mamografia,189.0
377,CE,202312,JARDIM,Citopatologico,1913.0
378,CE,202312,JARDIM,Mamografia,688.0
379,CE,202312,JATI,Citopatologico,25.0
380,CE,202312,JATI,Mamografia,208.0
381,CE,202312,JUAZEIRO DO NORTE,Citopatologico,21951.0
382,CE,202312,JUAZEIRO DO NORTE,Mamografia,5209.0
383,CE,202312,MAURITI,Citopatologico,3539.0
384,CE,202312,MAURITI,Mamografia,590.0
385,CE,202312,MILAGRES,Citopatologico,1706.0
386,CE,202312,MILAGRES,Mamografia,494.0
387,CE,202312,MISSAO VELHA,Citopatologico,3434.0
388,CE,202312,MISSAO VELHA,Mamografia,13.0
389,CE,202312,NOVA OLINDA,Citopatologico,735.0
390,CE,202312,NOVA OLINDA,Mamografia,230.0
391,CE,202312,PENAFORTE,Citopatologico,214.0
392,CE,202312,PENAFORTE,Mamografia,181.0
393,CE,202312,PORTEIRAS,Citopatologico,1458.0
394,CE,202312,PORTEIRAS,Mamografia,305.0
395,CE,202312,POTENGI,Citopatologico,454.0
396,CE,202312,POTENGI,Mamografia,353.0
397,CE,202312,SALITRE,Citopatologico,1088.0
398,CE,202312,SALITRE,Mamografia,448.0
399,CE,202312,SANTANA DO CARIRI,Citopatologico,1014.0
400,CE,202312,SANTANA DO CARIRI,Mamografia,262.0
401,CE,202312,TARRAFAS,Citopatologico,513.0
402,CE,202312,TARRAFAS,Mamografia,128.0
403,CE,202312,VARZEA ALEGRE,Citopatologico,487.0
404,CE,202312,VARZEA ALEGRE,Mamografia,991.0
405,CE,202412,ABAIARA,Citopatologico,880.0
406,CE,202412,ABAIARA,Mamografia,237.0
407,CE,202412,ALTANEIRA,Mamografia,216.0
408,CE,202412,ANTONINA DO NORTE,Citopatologico,447.0
409,CE,202412,ANTONINA DO NORTE,Mamografia,154.0
410,CE,202412,ARARIPE,Citopatologico,1242.0
411,CE,202412,ARARIPE,Mamografia,448.0
412,CE,202412,ASSARE,Citopatologico,1583.0
413,CE,202412,ASSARE,Mamografia,543.0
414,CE,202412,AURORA,Citopatologico,1064.0
415,CE,202412,AURORA,Mamografia,316.0
416,CE,202412,BARBALHA,Citopatologico,3496.0
417,CE,202412,BARBALHA,Mamografia,4864.0
418,CE,202412,BARRO,Citopatologico,1218.0
419,CE,202412,BARRO,Mamografia,273.0
420,CE,202412,BREJO SANTO,Citopatologico,8863.0
421,CE,202412,BREJO SANTO,Mamografia,2948.0
422,CE,202412,CAMPOS SALES,Citopatologico,1050.0
423,CE,202412,CAMPOS SALES,Mamografia,1392.0
424,CE,202412,CARIRIACU,Citopatologico,2164.0
425,CE,202412,CARIRIACU,Mamografia,267.0
426,CE,202412,CRATO,Citopatologico,26157.0
427,CE,202412,CRATO,Mamografia,7388.0
428,CE,202412,FARIAS BRITO,Citopatologico,1475.0
429,CE,202412,FARIAS BRITO,Mamografia,182.0
430,CE,202412,GRANJEIRO,Citopatologico,308.0
431,CE,202412,GRANJEIRO,Mamografia,128.0
432,CE,202412,JARDIM,Citopatologico,1009.0
433,CE,202412,JARDIM,Mamografia,873.0
434,CE,202412,JATI,Mamografia,67.0
435,CE,202412,JUAZEIRO DO NORTE,Citopatologico,16434.0
436,CE,202412,JUAZEIRO DO NORTE,Mamografia,7477.0
437,CE,202412,MAURITI,Citopatologico,2843.0
438,CE,202412,MAURITI,Mamografia,829.0
439,CE,202412,MILAGRES,Citopatologico,1524.0
440,CE,202412,MILAGRES,Mamografia,377.0
441,CE,202412,MISSAO VELHA,Citopatologico,1908.0
442,CE,202412,MISSAO VELHA,Mamografia,73.0
443,CE,202412,NOVA OLINDA,Citopatologico,574.0
444,CE,202412,NOVA OLINDA,Mamografia,196.0
445,CE,202412,PENAFORTE,Mamografia,77.0
446,CE,202412,PORTEIRAS,Citopatologico,1147.0
447,CE,202412,PORTEIRAS,Mamografia,367.0
448,CE,202412,POTENGI,Citopatologico,1214.0
449,CE,202412,POTENGI,Mamografia,225.0
450,CE,202412,SALITRE,Citopatologico,744.0
451,CE,202412,SALITRE,Mamografia,251.0
452,CE,202412,SANTANA DO CARIRI,Citopatologico,736.0
453,CE,202412,SANTANA DO CARIRI,Mamografia,259.0
454,CE,202412,TARRAFAS,Citopatologico,286.0
455,CE,202412,TARRAFAS,Mamografia,86.0
456,CE,202412,VARZEA ALEGRE,Citopatologico,157.0
457,CE,202412,VARZEA ALEGRE,Mamografia,1320.0
458,CE,202512,BARBALHA,Citopatologico,13.0
459,CE,202512,BARBALHA,Mamografia,2064.0
460,CE,202512,BREJO SANTO,Citopatologico,7000.0
461,CE,202512,BREJO SANTO,Mamografia,1795.0
462,CE,202512,CAMPOS SALES,Mamografia,1580.0
463,CE,202512,CRATO,Citopatologico,19412.0
464,CE,202512,CRATO,Mamografia,3245.0
465,CE,202512,JUAZEIRO DO NORTE,Citopatologico,10964.0
466,CE,202512,JUAZEIRO DO NORTE,Mamografia,769.0
467,CE,202512,MISSAO VELHA,Citopatologico,1070.0
468,CE,202512,VARZEA ALEGRE,Mamografia,763.0
